Paramètre;VIF;cos_teta;R_2;Teta
101;SZ__2014042341507RIRB___;7330.641635474893;0.9999317908202664;0.9998635862930251;0.6692085981864769
102;SX__2014042341609CADB___;56636.35661917395;0.9999911717095356;0.9999823434970098;0.24075552180369084
103;SY__2014042341609CADB___;93864.4854179862;0.9999946731574835;0.9999893463433422;0.18701341109059977
104;SZ__2014042341609CADB___;27056.33391335833;0.9999815198680768;0.999963040077669;0.34832996219719636
105;SX__2014042341703EASB___;93662.03076084214;0.9999946616432451;0.9999893233149882;0.18721542161798488
106;SY__2014042341703EASB___;58254.13978568337;0.9999914168821713;0.9999828338380126;0.23738893832014316
107;SZ__2014042341703EASB___;29240.180266282063;0.9999829000960165;0.9999658004844398;0.3350696446054381
108;SX__2014042342202ARFB___;96594.45645101437;0.9999948237061168;0.9999896474390276;0.18435175664590858
109;SY__2014042342202ARFB___;41164.10017653797;0.999987853419982;0.9999757069875034;0.2824002504894092
110;SZ__2014042342202ARFB___;22931.355313273052;0.9999781955560699;0.9999563915875735;0.37836497491126797
111;SX__2014042343001THUB___;23326.553449529896;0.9999785649706076;0.9999571304006756;0.37514611017651067
112;SY__2014042343001THUB___;50360.95232771948;0.9999900716237681;0.9999801433461089;0.25531545379043336
113;SZ__2014042343001THUB___;92147.4783758128;0.9999945739008236;0.9999891478310896;0.18874770960836038
114;SX__2014042349804COBB___;11143.645888564784;0.999955130374506;0.9999102627622952;0.5427695515484231
115;SY__2014042349804COBB___;19779.287047947353;0.9999747207106763;0.999949442060395;0.4073999537559231
116;SZ__2014042349804COBB___;7292.5206372684415;0.9999314342506664;0.9998628732025948;0.6709555120493027
117;SX__2014042349914MIAB___;55945.76664007559;0.9999910627333514;0.9999821255465774;0.24223690638795525
118;SY__2014042349914MIAB___;15583.240030826166;0.9999679137316305;0.9999358284927896;0.4589848992000582
119;SZ__2014042349914MIAB___;20297.64353673092;0.9999753662952254;0.9999507331972703;0.40216418157816397
120;SX__2014042350107YASB___;21593.610200248906;0.9999768447339631;0.9999536900040926;0.3899090861702081
121;SY__2014042350107YASB___;24707.010164046136;0.9999797626238028;0.9999595256571572;0.3645150509059569
122;SZ__2014042350107YASB___;23117.67281894678;0.9999783712914725;0.999956743050746;0.3768371469167371
123;SX__2014042350119MSPB___;20585.52703691189;0.9999757107956732;0.9999514221813118;0.3993421515276655
124;SY__2014042350119MSPB___;55967.62925553606;0.9999910662245283;0.9999821325288689;0.24218958902628548
125;SZ__2014042350119MSPB___;14422.240411825727;0.9999653307216361;0.9999306626452309;0.47710205365842995
126;SX__2014042350207CHAB___;30917.159569108895;0.9999838276203217;0.9999676555021891;0.32585559318250706
127;SY__2014042350207CHAB___;27437.226083355064;0.9999817764173966;0.9999635531668922;0.34590366981005544
