;Paramètre;VIF;cos_teta;R_2;Teta
90;SX__2014042340127YEMB___;34188.97276638527;0.9999853752945542;0.9999707508029904;0.3098715634810791
91;SY__2014042340127YEMB___;28963.625564666796;0.9999827368188172;0.9999654739356519;0.33666554283017525
92;SZ__2014042340127YEMB___;13674.812849256443;0.9999634357598354;0.9999268728566143;0.4899674505327476
93;SX__2014042340424KOLB___;17293.711204469324;0.9999710873379138;0.9999421755117698;0.435695141281919
94;SY__2014042340424KOLB___;62539.02967781867;0.9999920049607206;0.999984009985362;0.22911220259190251
95;SZ__2014042340424KOLB___;17860.842487202142;0.9999720054079697;0.9999440115996366;0.42872194549359
96;SX__2014042340451GRFB___;28915.75182180815;0.9999827082371553;0.9999654167733157;0.3369441273155164
97;SY__2014042340451GRFB___;37430.57562932005;0.9999866418474428;0.9999732838733258;0.29614971102591914
98;SZ__2014042340451GRFB___;23526.7370797849;0.9999787473583132;0.9999574951683011;0.3735466616429461
99;SX__2014042341507RIRB___;29462.4573598233;0.9999830291059346;0.9999660584998805;0.33380328453981517
100;SY__2014042341507RIRB___;25551.63180675758;0.9999804315866817;0.9999608635562862;0.3584397327648703
101;SZ__2014042341507RIRB___;12247.226520318074;0.9999591735968972;0.9999183488605897;0.5177375538336088
102;SX__2014042341609CADB___;63630.92694417539;0.9999921421549476;0.9999842843716409;0.22713792029850613
103;SY__2014042341609CADB___;74877.89556788576;0.9999933224396118;0.9999866449238134;0.20938558709521102
104;SZ__2014042341609CADB___;11534.812273024432;0.9999566520177879;0.9999133059146235;0.5334867559169176
105;SX__2014042341703EASB___;309722.2999222657;0.9999983856493262;0.9999967713012584;0.10295243628997276
106;SY__2014042341703EASB___;19106.799720963892;0.9999738309633405;0.9999476626114994;0.41450754977430554
107;SZ__2014042341703EASB___;16188.609056798161;0.999969113608219;0.9999382281704072;0.450321141011844
108;SX__2014042342202ARFB___;98808.5579669584;0.9999949396967696;0.9999898794191457;0.18227457084403062
109;SY__2014042342202ARFB___;50751.52590548161;0.9999901480309393;0.9999802961589399;0.2543311215647789
110;SZ__2014042342202ARFB___;13912.711747690195;0.9999640609973109;0.9999281232862338;0.48576021437082323
111;SX__2014042343001THUB___;6827.954509083339;0.9999267689455504;0.9998535432538882;0.693406525478046
112;SY__2014042343001THUB___;8699.480761827688;0.9999425236536308;0.9998850506107919;0.6143053350559772
113;SZ__2014042343001THUB___;13296.893177752456;0.9999623965241834;0.9999247944623881;0.496881681813203
114;SX__2014042349804COBB___;19922.613303366157;0.9999749025759412;0.9999498057817631;0.4059318359053366
115;SY__2014042349804COBB___;35745.94002304542;0.999986012299673;0.9999720247950017;0.30304791207322346
116;SZ__2014042349804COBB___;11260.409699394668;0.9999555956564032;0.9999111932845521;0.5399480344444684
117;SX__2014042349914MIAB___;309501.49538499577;0.9999983844976152;0.9999967689978404;0.10298915394420831
118;SY__2014042349914MIAB___;144962.25056941056;0.9999965508202284;0.9999931016523538;0.1504858515983219
119;SZ__2014042349914MIAB___;72915.67043467771;0.9999931427399441;0.9999862855269103;0.2121842717195345
120;SX__2014042350107YASB___;66038.08384583078;0.9999924285826641;0.9999848572226545;0.22295976441536058
121;SY__2014042350107YASB___;71451.34590238665;0.9999930022067025;0.9999860044623741;0.2143475078735958
122;SZ__2014042350107YASB___;51373.6520401252;0.9999902673371792;0.9999805347690832;0.2527864677465095
123;SX__2014042350119MSPB___;21006.33318924097;0.9999761973712297;0.9999523953090246;0.3953219722288479
124;SY__2014042350119MSPB___;552943.7341582911;0.9999990957484548;0.9999981914977272;0.07705171201158038
125;SZ__2014042350119MSPB___;37952.490172390215;0.9999868255471153;0.9999736512677967;0.2941063499903133
126;SX__2014042350207CHAB___;32604.66872623548;0.9999846646552963;0.9999693295457655;0.3173108748355297
127;SY__2014042350207CHAB___;96034.69018322231;0.999994793534496;0.9999895870960994;0.18488825191897285
128;SZ__2014042350207CHAB___;12616.189750432042;0.9999603675976513;0.9999207367660299;0.5101105007831555
129;SX__2014042350305BETB___;13590.672360819579;0.9999632093847495;0.9999264201230483;0.49148185306467357
130;SY__2014042350305BETB___;167365.87552747468;0.9999970125287171;0.9999940250663593;0.1400520944590929
131;SZ__2014042350305BETB___;22662.792750245153;0.9999779371624107;0.9999558748115901;0.38060028814234764
132;SX__2014042366007ROVB___;15926.192810599156;0.9999686046844404;0.9999372103545466;0.45401603622768477
133;SY__2014042366007ROVB___;20197.485617820297;0.9999752441368939;0.9999504888866405;0.40316011687630543
134;SZ__2014042366007ROVB___;14686.181782969088;0.9999659538116115;0.9999319087823658;0.4727952572695968
135;SX__2014042366018BEMB___;8570.490014761774;0.9999416585767068;0.9998833205571352;0.6189110714436856
136;SY__2014042366018BEMB___;12661.944550414266;0.9999605108148673;0.9999210231891303;0.5091879828090878
137;SZ__2014042366018BEMB___;18249.003082895702;0.9999726008676965;0.9999452024861053;0.42413784611721694
138;SX__2014042391201KETB___;35429.98827308887;0.9999858875615685;0.9999717753222979;0.30439616116289775
139;SY__2014042391201KETB___;19762.050032983294;0.9999746986610913;0.9999493979623404;0.40757759086539913
140;SZ__2014042391201KETB___;8433.913997472846;0.9999407137869627;0.9998814310887804;0.6239023637645402
141;SX__2014042391301CRQB___;47455.90009457318;0.9999894638467913;0.9999789278045932;0.2630141113931953
142;SY__2014042391301CRQB___;43507.47692750163;0.9999885076564211;0.9999770154449161;0.27468968214959416
143;SZ__2014042391301CRQB___;9646.559315146009;0.9999481667045913;0.999896336095873;0.5833697649189724
144;SX__2014042391401AMVB___;48728.15036313125;0.9999897389381384;0.9999794779815662;0.2595578418959979
145;SY__2014042391401AMVB___;18863.315650741722;0.999973493173944;0.9999469870504998;0.41717421138188826
146;SZ__2014042391401AMVB___;4671.2527762624;0.9998929566036712;0.9997859246656311;0.8383424247858271
147;SX__2014042392201PAUB___;121344.49597852843;0.9999958794914751;0.9999917589999288;0.16448003429312585
148;SY__2014042392201PAUB___;1446737.2219586796;0.999999654394676;0.9999993087894714;0.04763518484610449
149;SZ__2014042392201PAUB___;150768.87980715503;0.9999966836602505;0.9999933673314992;0.1475595283663122
150;SX__2014042392301RIMB___;276655.2281931695;0.9999981926947302;0.9999963853927268;0.10893149226150466
151;SY__2014042392301RIMB___;71098.29050567505;0.9999929674573808;0.9999859349642181;0.21487904796268284
152;SZ__2014042392301RIMB___;19716.56458210204;0.9999746402910139;0.9999492812251427;0.40804746186351315
153;SX__2014042392701NOXB___;102049.436345303;0.9999951004018953;0.9999902008277967;0.17935687834653338
154;SY__2014042392701NOXB___;114880.77589058473;0.9999956476522359;0.9999912953234147;0.1690439306317985
155;SZ__2014042392701NOXB___;84950.69907727468;0.999994114215929;0.9999882284665005;0.19658030561187556
156;SX__2014042392902FUUB___;35265.56633897675;0.999985821763366;0.9999716437277545;0.30510494994553544
157;SY__2014042392902FUUB___;201246.01823507642;0.9999975154757071;0.9999950309575872;0.12772012764426321
158;SZ__2014042392902FUUB___;22554.399295569507;0.999977831130161;0.9999556627517809;0.3815137627282736
159;SX__2014042397205LAOB___;116136.07906260656;0.9999956946964254;0.9999913894113864;0.16812785643716924
160;SY__2014042397205LAOB___;9388.28978323052;0.9999467407454699;0.9998934843274878;0.591339785510108
161;SZ__2014042397205LAOB___;12267.640253089503;0.9999592415346792;0.9999184847306108;0.517306597116538
162;SX__2014042397301KRWB___;99341.27386504148;0.9999949668326281;0.9999899336905891;0.18178519009829003
163;SY__2014042397301KRWB___;46765.97124571038;0.999989308408238;0.9999786169307862;0.2649471187664707
164;SZ__2014042397301KRWB___;54377.79985823194;0.9999908050288894;0.9999816101423263;0.24570452095594086
165;SX__2014042397401REUB___;49991.531693251585;0.9999899982560343;0.9999799966121035;0.25625707145160104
166;SY__2014042397401REUB___;27370.20219433772;0.9999817317912545;0.9999634639162364;0.34632693879555987
167;SZ__2014042397401REUB___;8591.095286772152;0.9999417985094908;0.9998836004063952;0.6181683848642477
168;MGN10002GR4B14042012CRYO;3.446662575478563;0.8425344260568469;0.7098642590909405;32.591275551528376
169;MGE10002GR4B14042012CRYO;13.182692525789793;0.9613235473018864;0.9241429625970823;15.987138137309032
170;MGN10003TLSB14042012CRYO;5.2852273529583345;0.9004406591444132;0.8107933806404253;25.78394949866097
171;MGE10003TLSB14042012CRYO;11.993232880434126;0.9574025518373845;0.9166196462647357;16.783528013206634
172;MGN10202REZB14042012CRYO;3.9108727756122708;0.8627297375866336;0.7443026001163017;30.375526702704867
173;MGE10202REZB14042012CRYO;6.9078167667378;0.9247899552208813;0.8552364612774395;22.36329667837308
174;MGN10317SPJB14042012CRYO;3.967107685028649;0.8648278356971331;0.7479271853965874;30.136947847310847
175;MGE10317SPJB14042012CRYO;4.488026374787679;0.8815809152529898;0.7771849101382992;28.16633973416927
176;MGN10503MEUB14042012CRYO;4.262355482305035;0.874864526676314;0.7653879400365708;28.971053540464794
177;MGE10503MEUB14042012CRYO;7.723440333151527;0.9330187676518741;0.8705240207906219;21.089615342224846
178;MGN12334KIUB14042012CRYO;9.278367471665408;0.9445752586141224;0.8922224191859361;19.16531914186833
179;MGE12334KIUB14042012CRYO;38.96391231486301;0.9870842041565604;0.9743352260953902;9.21863808015805
180;MGN12338BADB14042012CRYO;4.936942577548187;0.8929980329763225;0.7974454868995812;26.74756987041376
181;MGE12338BADB14042012CRYO;8.340532651721071;0.9381383590385435;0.8801035806995312;20.25876790786683
182;MGN12349KRBB14042012CRYO;8.927541020835589;0.9423306601578456;0.8879870730735211;19.55328215689619
183;MGE12349KRBB14042012CRYO;21.536389331318507;0.9765075326215049;0.9535669612665394;12.443881104517047
184;MGN12602DIOB14042012CRYO;7.547804496950224;0.9314027817022056;0.8675111417626065;21.345450466398617
185;MGE12602DIOB14042012CRYO;15.29553412872187;0.9667582116140686;0.9346214397232323;14.814611967464684
186;MGN21501EVEB14042012CRYO;8.902598796828647;0.9421641305046188;0.8876732488095243;19.58177109482699
187;MGE21501EVEB14042012CRYO;18.60366055313431;0.9727523517907305;0.9462471379143971;13.405815273408166
188;MGN21602JIVB14042012CRYO;4.509911337827493;0.8821939417769946;0.7782661509080313;28.091839546480994
189;MGE21602JIVB14042012CRYO;14.050666153876264;0.9637577481985644;0.9288289972127676;15.472684535425723
190;MGN22006MANB14042012CRYO;4.225838088993667;0.8737050705338251;0.7633605502765162;29.10791033917293
191;MGE22006MANB14042012CRYO;29.56671999575856;0.9829436349695554;0.9661781895271625;10.597418884609299
192;MGN22901MALB14042012CRYO;8.492440696432825;0.9392806934067727;0.8822482210067076;20.068892974626852
193;MGE22901MALB14042012CRYO;85.91285425518055;0.9941631145090077;0.9883602982502505;6.193550560257372
194;MGN23101CIDB14042012CRYO;3.7617691391806223;0.8568358252926532;0.7341676315049421;31.036855494094873
195;MGE23101CIDB14042012CRYO;9.290202723233008;0.9446479356932869;0.8923597224095883;19.152631109919266
196;MGN30302HBMB14042012CRYO;4.017721479177749;0.866661818155507;0.751102707048609;29.926991699160546
197;MGE30302HBMB14042012CRYO;19.59818214054476;0.9741534064820035;0.9489748593604915;13.055068967098206
198;MGN30602ASEB14042012CRYO;7.059896174847077;0.9264744235328574;0.8583548574605404;22.108253856074978
